sentence_id	words	labels	prob
1	which	O	0.99998474
1	is	O	0.9999923
1	better	PRED	0.998881
1	a	O	0.9999695
1	laptop	OBJ	0.9999638
1	or	O	0.9998856
1	a	O	0.9999686
1	desktop	OBJ	0.99990946
2	which	O	0.9999886
2	is	O	0.9999886
2	better	PRED	0.99874383
2	canon	OBJ	0.99992085
2	or	O	0.9997835
2	nikon	OBJ	0.999957
3	what	O	0.9999866
3	are	O	0.99998385
3	the	O	0.99989796
3	advantages	PRED	0.9999752
3	and	PRED	0.9999018
3	disadvantages	PRED	0.99991703
3	of	O	0.9990925
3	php	OBJ	0.9999552
3	over	O	0.9951015
3	python	OBJ	0.9999438
3	and	O	0.9514797
3	vice	O	0.58062667
3	versa	O	0.92065775
4	why	O	0.9998913
4	is	O	0.9999552
4	linux	OBJ	0.9999543
4	better	PRED	0.9994213
4	than	O	0.99990654
4	windows	OBJ	0.9999647
5	train	OBJ	0.99996567
5	or	O	0.9984448
5	plane	OBJ	0.9999723
5	which	O	0.9999714
5	is	O	0.9999923
5	the	O	0.9999866
5	better	PRED	0.9999695
5	choice	O	0.97659236
6	should	O	0.9996558
6	one	O	0.9979498
6	prefer	PRED	0.99891526
6	chinese	OBJ	0.9999714
6	medicine	OBJ	0.99995995
6	or	O	0.99967194
6	western	OBJ	0.99997425
6	medicine	OBJ	0.999958
7	do	O	0.99859333
7	you	O	0.98292226
7	prefer	PRED	0.9997092
7	cats	OBJ	0.9998999
7	or	O	0.999084
7	dogs	OBJ	0.9999675
7	and	O	0.9994213
7	why	O	0.9990391
8	what	O	0.9999923
8	is	O	0.99999136
8	the	O	0.9999809
8	better	PRED	0.9999427
8	way	O	0.99964625
8	to	O	0.99966246
8	grill	ASP	0.99824774
8	outdoors	ASP	0.9964558
8	gas	OBJ	0.9999018
8	or	O	0.99899346
8	charcoal	OBJ	0.99992085
9	which	O	0.9999857
9	is	O	0.9999829
9	better	PRED	0.99912405
9	mac	OBJ	0.9999418
9	or	O	0.9998388
9	pc	OBJ	0.999919
10	which	O	0.99998385
10	is	O	0.9999866
10	better	PRED	0.99795455
10	pepsi	OBJ	0.9991897
10	or	O	0.99947757
10	coke	OBJ	0.9994451
11	what	O	0.99999136
11	is	O	0.99998754
11	better	PRED	0.9979507
11	google	OBJ	0.99997705
11	search	OBJ	0.9999666
11	or	O	0.9997969
11	yahoo	OBJ	0.99997616
11	search	OBJ	0.99995905
12	which	O	0.99998474
12	browser	O	0.99992657
12	is	O	0.999939
12	better	PRED	0.99964625
12	internet	OBJ	0.99726665
12	explorer	OBJ	0.99994564
12	or	O	0.9996787
12	firefox	OBJ	0.9999332
13	which	O	0.99999046
13	is	O	0.9999943
13	a	O	0.9999809
13	better	PRED	0.9998197
